,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,month 1,accommodates,bathrooms,bedrooms,bed_type,review_scores_rating,Laptop_friendly_workspace,TV,Family_kid_friendly,Host_greets_you,Smoking_allowed,Hot_water,no_of_amenities
82,1.0,30.0,0.0,60,3,68,514.0,0.77,1,236,260.0,2,1.0,1.0,4.0,96.0,1.0,0.0,0.0,0.0,0.0,1.0,16
83,4.0,2.0,0.0,70,4,114,1381.0,1.33,2,194,201.0,2,1.0,1.0,4.0,91.0,0.0,1.0,0.0,0.0,0.0,0.0,6
84,10.0,111.0,0.0,130,3,53,533.0,0.74,1,140,303.0,6,1.0,3.0,4.0,99.0,1.0,1.0,1.0,0.0,0.0,1.0,44
85,6.0,14.0,0.0,69,2,3,633.0,0.05,1,344,250.0,4,1.0,2.0,4.0,100.0,1.0,1.0,1.0,0.0,0.0,1.0,21
86,1.0,118.0,0.0,75,14,3,1690.0,0.06,1,310,210.0,2,1.0,2.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,8
87,1.0,135.0,0.0,68,60,84,945.0,0.93,1,266,252.0,4,1.0,1.0,4.0,94.0,1.0,1.0,1.0,1.0,0.0,1.0,29
88,1.0,30.0,0.0,125,7,5,1339.0,0.06,1,0,287.0,4,1.0,1.0,4.0,95.0,0.0,1.0,0.0,0.0,1.0,0.0,13
89,11.0,36.0,0.0,70,2,26,516.0,0.49,1,340,219.0,4,1.0,1.0,4.0,97.0,1.0,1.0,1.0,0.0,0.0,1.0,21
90,4.0,2.0,0.0,89,2,443,511.0,5.2,5,295,183.0,2,1.0,1.0,4.0,96.0,0.0,1.0,1.0,0.0,0.0,1.0,14
91,1.0,32.0,0.0,59,2,16,617.0,0.37,1,302,241.0,3,1.0,1.0,4.0,98.0,1.0,1.0,1.0,0.0,0.0,1.0,20
92,10.0,110.0,0.0,96,1,148,513.0,1.67,1,202,236.0,6,1.0,3.0,4.0,85.0,1.0,1.0,1.0,1.0,0.0,1.0,42
93,1.0,118.0,0.0,75,2,191,1388.0,2.13,1,0,256.0,4,0.0,2.0,4.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,12
94,4.0,2.0,1.0,55,2,226,500.0,2.54,1,322,255.0,2,1.0,1.0,4.0,96.0,0.0,1.0,1.0,1.0,0.0,1.0,15
95,5.0,105.0,0.0,55,30,55,680.0,0.63,1,312,209.0,4,1.0,1.0,4.0,91.0,0.0,1.0,1.0,1.0,0.0,1.0,17
96,1.0,30.0,1.0,70,3,107,522.0,1.41,1,50,270.0,3,1.0,1.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,1.0,31
97,6.0,95.0,0.0,31,183,39,1129.0,0.45,1,324,254.0,2,1.0,1.0,4.0,98.0,1.0,1.0,0.0,0.0,0.0,0.0,10
98,4.0,2.0,1.0,40,2,47,500.0,0.54,1,84,243.0,4,1.0,2.0,4.0,90.0,1.0,1.0,1.0,1.0,1.0,1.0,24
99,1.0,115.0,0.0,81,1,10,548.0,0.26,1,342,167.0,4,1.0,1.0,4.0,85.0,1.0,1.0,1.0,1.0,0.0,1.0,48
100,6.0,49.0,1.0,52,3,127,497.0,1.61,1,341,229.0,2,1.0,1.0,3.0,88.0,1.0,0.0,0.0,0.0,1.0,1.0,23
101,6.0,94.0,0.0,100,180,4,3046.0,0.04,1,282,234.0,2,1.0,2.0,4.0,95.0,1.0,1.0,1.0,0.0,0.0,1.0,18
102,4.0,2.0,0.0,36,90,95,931.0,1.06,1,1,224.0,3,1.0,1.0,4.0,94.0,1.0,1.0,1.0,0.0,0.0,0.0,17
103,1.0,135.0,0.0,88,5,45,528.0,0.53,1,291,219.0,4,1.0,2.0,4.0,94.0,1.0,0.0,1.0,1.0,0.0,1.0,20
104,4.0,74.0,1.0,29,1,252,516.0,2.96,1,324,268.0,4,1.0,1.0,4.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,19
105,1.0,135.0,0.0,100,10,3,1377.0,0.08,1,325,285.0,2,1.0,1.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,8
